case_name,row_index,trial_id,actual_yield,predicted_yield,residual_pred_minus_actual,abs_residual
highest_pred,64,5,6116.7,4008.9297473258885,-2107.7702526741114,2107.7702526741114
lowest_pred,109,11,116.3,598.5590523745714,482.25905237457135,482.25905237457135
largest_overpred,39,9,270.0,2956.8866857186845,2686.8866857186845,2686.8866857186845
largest_underpred,48,9,7402.0,3360.459376649983,-4041.540623350017,4041.540623350017
largest_abs_error,36,9,928.0,3425.02881861123,2497.02881861123,2497.02881861123
