case_name,row_index,feature_rank,feature,feature_value,shap_value,abs_shap_value,direction
highest_pred,64,1,flooded,1,360.83698761172013,360.83698761172013,positive
highest_pred,64,2,soil_P,18.0,247.47735648149862,247.47735648149862,positive
highest_pred,64,3,location,Cotonou,246.84325533436302,246.84325533436302,positive
highest_pred,64,4,country,Benin,163.81876415833494,163.81876415833494,positive
highest_pred,64,5,soil_pH,6.0,60.20496068734846,60.20496068734846,positive
highest_pred,64,6,planting_date,2012,55.475047918241344,55.475047918241344,positive
highest_pred,64,7,P_fertilizer,0,45.063365841516394,45.063365841516394,positive
highest_pred,64,8,latitude,6.368,42.10570492507181,42.10570492507181,positive
highest_pred,64,9,longitude,2.322,38.444995365100255,38.444995365100255,positive
highest_pred,64,10,irrigated,1,34.41916780886468,34.41916780886468,positive
lowest_pred,109,1,variety,PH218-5-3-18-3,-412.5786940073417,412.5786940073417,negative
lowest_pred,109,2,country,Burkina Faso,-375.2624899161641,375.2624899161641,negative
lowest_pred,109,3,location,Farako-Ba,-347.48470366583103,347.48470366583103,negative
lowest_pred,109,4,irrigated,0,-174.33238384231504,174.33238384231504,negative
lowest_pred,109,5,soil_P,1.39948597907651,-160.39401894774707,160.39401894774707,negative
lowest_pred,109,6,plot_area,1.4,-126.0030462993326,126.0030462993326,negative
lowest_pred,109,7,planting_date,2013,-118.47963176405713,118.47963176405713,negative
lowest_pred,109,8,latitude,11.0,-88.88152725571166,88.88152725571166,negative
lowest_pred,109,9,flooded,0,-75.4227936789005,75.4227936789005,negative
lowest_pred,109,10,P_fertilizer,0,-65.6528668346491,65.6528668346491,negative
largest_overpred,39,1,location,Cotonou,215.56599764986507,215.56599764986507,positive
largest_overpred,39,2,country,Benin,130.56676648715492,130.56676648715492,positive
largest_overpred,39,3,plot_area,0.4,111.69813007392426,111.69813007392426,positive
largest_overpred,39,4,variety,SURJAMKUHI,-91.0317676651503,91.0317676651503,negative
largest_overpred,39,5,flooded,0,-87.60499518646985,87.60499518646985,negative
largest_overpred,39,6,soil_P,3.25055030726496,-71.88354261848475,71.88354261848475,negative
largest_overpred,39,7,P_fertilizer,0,-70.5446451508493,70.5446451508493,negative
largest_overpred,39,8,soil_pH,5.9,50.7268776122607,50.7268776122607,positive
largest_overpred,39,9,latitude,6.368,38.0415717556159,38.0415717556159,positive
largest_overpred,39,10,longitude,2.322,31.378327846142433,31.378327846142433,positive
largest_underpred,48,1,location,Cotonou,256.16485313634945,256.16485313634945,positive
largest_underpred,48,2,variety,KALUBALAVEE,151.86447215003298,151.86447215003298,positive
largest_underpred,48,3,plot_area,0.4,149.0065358263994,149.0065358263994,positive
largest_underpred,48,4,country,Benin,140.77258425067674,140.77258425067674,positive
largest_underpred,48,5,flooded,0,-79.30726426594742,79.30726426594742,negative
largest_underpred,48,6,soil_pH,5.9,74.28808788540077,74.28808788540077,positive
largest_underpred,48,7,soil_P,3.25055030726496,-64.4780101704056,64.4780101704056,negative
largest_underpred,48,8,P_fertilizer,0,-56.68315318409968,56.68315318409968,negative
largest_underpred,48,9,latitude,6.368,46.2035505228279,46.2035505228279,positive
largest_underpred,48,10,longitude,2.322,34.70202309142916,34.70202309142916,positive
largest_abs_error,36,1,location,Cotonou,262.50024408838834,262.50024408838834,positive
largest_abs_error,36,2,plot_area,0.4,159.70472839241862,159.70472839241862,positive
largest_abs_error,36,3,country,Benin,142.59966621946924,142.59966621946924,positive
largest_abs_error,36,4,variety,NERICA4,88.22238562710241,88.22238562710241,positive
largest_abs_error,36,5,soil_pH,5.9,77.084444019293,77.084444019293,positive
largest_abs_error,36,6,flooded,0,-64.15633982790597,64.15633982790597,negative
largest_abs_error,36,7,latitude,6.368,45.9117849116205,45.9117849116205,positive
largest_abs_error,36,8,longitude,2.322,37.185171996105645,37.185171996105645,positive
largest_abs_error,36,9,irrigated,1,32.59961838205782,32.59961838205782,positive
largest_abs_error,36,10,P_fertilizer,0,-31.82352507133913,31.82352507133913,negative
