rule_id,country,seed,feature,smd_before,smd_after,abs_smd_before,abs_smd_after
R1,Benin,42,planting_date,0.352136971960688,-1.1975139672229935,0.352136971960688,1.1975139672229935
R1,Benin,42,soil_P,-0.8082602830743318,0.6934903174527529,0.8082602830743318,0.6934903174527529
R1,Benin,42,soil_pH,0.74798667532629,-0.12199482248403817,0.74798667532629,0.12199482248403817
R1,Benin,42,latitude,0.47320716216539155,-0.07088789106042757,0.47320716216539155,0.07088789106042757
R1,Benin,42,longitude,-0.4732071621653863,0.07088789106042374,0.4732071621653863,0.07088789106042374
R1,Benin,42,plot_area,-0.599299409176152,-0.03858895268000905,0.599299409176152,0.03858895268000905
R1,Benin,52,planting_date,0.352136971960688,-1.1975139672229935,0.352136971960688,1.1975139672229935
R1,Benin,52,soil_P,-0.8082602830743318,0.6934903174527529,0.8082602830743318,0.6934903174527529
R1,Benin,52,soil_pH,0.74798667532629,-0.12199482248403817,0.74798667532629,0.12199482248403817
R1,Benin,52,latitude,0.47320716216539155,-0.07088789106042757,0.47320716216539155,0.07088789106042757
R1,Benin,52,longitude,-0.4732071621653863,0.07088789106042374,0.4732071621653863,0.07088789106042374
R1,Benin,52,plot_area,-0.599299409176152,-0.03858895268000905,0.599299409176152,0.03858895268000905
R1,Benin,62,planting_date,0.352136971960688,-1.1975139672229935,0.352136971960688,1.1975139672229935
R1,Benin,62,soil_P,-0.8082602830743318,0.6934903174527529,0.8082602830743318,0.6934903174527529
R1,Benin,62,soil_pH,0.74798667532629,-0.12199482248403817,0.74798667532629,0.12199482248403817
R1,Benin,62,latitude,0.47320716216539155,-0.07088789106042757,0.47320716216539155,0.07088789106042757
R1,Benin,62,longitude,-0.4732071621653863,0.07088789106042374,0.4732071621653863,0.07088789106042374
R1,Benin,62,plot_area,-0.599299409176152,-0.03858895268000905,0.599299409176152,0.03858895268000905
R1,Nigeria,42,longitude,-2.317807156349586,-1.0736366504599122,2.317807156349586,1.0736366504599122
R1,Nigeria,42,latitude,-2.317807156349565,-1.0736366504599029,2.317807156349565,1.0736366504599029
R1,Nigeria,52,longitude,-2.317807156349586,-1.0688558260835312,2.317807156349586,1.0688558260835312
R1,Nigeria,52,latitude,-2.317807156349565,-1.068855826083515,2.317807156349565,1.068855826083515
R1,Nigeria,62,longitude,-2.317807156349586,-1.0510674220488492,2.317807156349586,1.0510674220488492
R1,Nigeria,62,latitude,-2.317807156349565,-1.0510674220488487,2.317807156349565,1.0510674220488487
R2,Nigeria,42,longitude,-2.2813902295114667,-1.0424949786354878,2.2813902295114667,1.0424949786354878
R2,Nigeria,42,latitude,-2.281390229511477,-1.0424949786354685,2.281390229511477,1.0424949786354685
R2,Nigeria,52,longitude,-2.2813902295114667,-1.0572770327589138,2.2813902295114667,1.0572770327589138
R2,Nigeria,52,latitude,-2.281390229511477,-1.0572770327589105,2.281390229511477,1.0572770327589105
R2,Nigeria,62,latitude,-2.281390229511477,-1.0481846359391476,2.281390229511477,1.0481846359391476
R2,Nigeria,62,longitude,-2.2813902295114667,-1.048184635939141,2.2813902295114667,1.048184635939141
R5,Benin,42,soil_P,2.4319519657149655,2.1526388962574234,2.4319519657149655,2.1526388962574234
R5,Benin,42,plot_area,1.205920109535733,1.1838204313999634,1.205920109535733,1.1838204313999634
