model_key,model,params_json,selected_config_rank,selection_strategy,selection_seed_set,selection_seed_count,val_r2_seed_primary,val_rmse_seed_primary,val_mae_seed_primary,test_r2,test_rmse,test_mae,n_train,n_validation,n_train_plus_validation,n_test,n_trials_in_test,val_r2_mean_stability,val_rmse_mean_stability,test_r2_mean_stability,test_rmse_mean_stability,test_rmse_worst_stability
extratrees,ExtraTrees,"{""max_depth"": 18, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 8, ""n_estimators"": 800}",3,validation_stability_mean,"42,52,62",3,0.4900377564751006,914.9939636100239,716.1765346312683,0.47924278819783206,1002.0221817765664,749.0850628519576,507,163,670,160,13,0.5072489023137418,929.9642546443994,0.49947892760395235,962.1823761040208,1002.0221817765664
catboost,CatBoost,"{""bagging_temperature"": 1.0, ""depth"": 8, ""l2_leaf_reg"": 10.5, ""learning_rate"": 0.03, ""n_estimators"": 300, ""random_strength"": 1.0}",1,validation_stability_mean,"42,52,62",3,0.5160995952350311,891.3067799347292,694.5407556869499,0.47918197591342926,1002.0806864671065,740.9760458085564,507,163,670,160,13,0.4754773782462219,960.0780181791606,0.48768432249073296,973.3992059442481,1002.0806864671065
