model,model_key,train_fraction,seeds,n_train_used_mean,n_train_used_min,n_train_used_max,test_r2_mean,test_r2_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_nrmse_mean_mean,test_nrmse_mean_std,fit_seconds_mean
ExtraTrees,extratrees,0.2,3,128.0,128,128,0.4672652666484253,0.06382096998893938,991.038965020733,53.01859275562796,731.0389431028179,35.607806376957704,0.37206066162796536,0.021440569426416797,1.0902631333253037
ExtraTrees,extratrees,0.4,3,262.0,262,262,0.41672673071862376,0.022676364738311208,1038.375549928969,25.244515625041668,769.6879016267725,2.436389897939948,0.38976379227593205,0.008865291611536494,1.0934014000037375
ExtraTrees,extratrees,0.6,3,396.0,396,396,0.49947126121142266,0.02473171403277898,962.1471504234561,41.171233931863455,721.7081981511333,39.197701161485604,0.36108519102643016,0.012480896641477049,1.0599450000057307
ExtraTrees,extratrees,0.8,3,530.0,530,530,0.48894990442959246,0.027511200172673916,972.2166649679651,44.37995447432168,727.921418661885,32.172816195619845,0.36485915452300705,0.013674428292292418,1.0916186999966158
ExtraTrees,extratrees,1.0,3,670.0,670,670,0.49947892760395235,0.017914942086516072,962.1823761040208,35.751394618276755,719.4659862760928,26.705804155856068,0.36111151588379425,0.010579505195050496,1.1026532333295715
