rule_id,rule_conditions,features_used,support_count,support_pct,predicted_yield_mean,actual_yield_mean,predicted_lift_vs_global,actual_lift_vs_global,support_mean,support_std,lift_mean,lift_std,sign_match_rate,n_seed_evals,support_score,lift_score,rule_score
R5,irrigated > 0.5000 AND N_fertilizer <= 100.0000 AND flooded > 0.5000 AND P_fertilizer <= 15.0000,N_fertilizer|P_fertilizer|flooded|irrigated,17,0.10625,3857.498526395348,4645.957058823529,1184.8099224541897,1957.0049338235294,0.09999999999999999,0.005103103630798286,1674.17142939951,210.2988912913233,1.0,3,0.09999999999999999,1674.17142939951,321.27142867493876
R4,irrigated <= 0.5000,irrigated,20,0.125,1383.4396988663414,1427.306,-1289.248905074817,-1261.6461249999998,0.125,0.0,-1223.2714518749997,98.24898701773694,1.0,3,0.125,-1223.2714518749997,267.908931484375
R2,irrigated > 0.5000 AND N_fertilizer <= 100.0000 AND flooded <= 0.5000 AND P_fertilizer > 11.0000,N_fertilizer|P_fertilizer|flooded|irrigated,43,0.26875,2867.663805854075,3037.7518604651164,194.97520191291642,348.79973546511656,0.26875,0.0,447.4165163808143,162.02137611432914,1.0,3,0.26875,447.4165163808143,188.1770645476018
R3,irrigated > 0.5000 AND N_fertilizer <= 100.0000 AND flooded > 0.5000 AND P_fertilizer > 15.0000,N_fertilizer|P_fertilizer|flooded|irrigated,21,0.13125,3107.0572692189153,3049.234761904762,434.3686652777569,360.28263690476206,0.1375,0.005103103630798281,267.62074577573094,65.62746812517642,1.0,3,0.1375,267.62074577573094,149.95259322196637
R1,irrigated > 0.5000 AND N_fertilizer <= 100.0000 AND flooded <= 0.5000 AND P_fertilizer <= 11.0000,N_fertilizer|P_fertilizer|flooded|irrigated,45,0.28125,2778.8972092623203,2377.5522222222226,106.20860532116194,-311.39990277777724,0.28125,0.0,-235.97035872685152,237.96183452156012,0.6666666666666666,3,0.28125,-235.97035872685152,129.9129615075231
