case_name,row_index,trial_id,actual_yield,predicted_yield,residual_pred_minus_actual,abs_residual
highest_pred,63,5,4450.14,4142.071611017429,-308.0683889825714,308.0683889825714
lowest_pred,117,11,876.26,536.3803686399542,-339.8796313600458,339.8796313600458
largest_overpred,39,9,270.0,2742.306861814101,2472.306861814101,2472.306861814101
largest_underpred,48,9,7402.0,3328.11923869301,-4073.88076130699,4073.88076130699
largest_abs_error,64,5,6116.7,3650.156809023616,-2466.543190976384,2466.543190976384
