rule_id,country,generalization_status,analysis_tier,n_seed_runs,ate_ref_seed,ci_low_ref_seed,ci_high_ref_seed,ci_excludes_zero_ref_seed,ate_mean_across_seeds,ate_std_across_seeds,sign_match_rate,overlap_fraction_common_support_ref_seed,max_abs_smd_after_ref_seed,ess_treated_ref_seed,ess_control_ref_seed,p_value_bootstrap_two_sided_ref_seed,n_total,n_treated,n_control,treated_rate,n_trials,n_trials_treated,n_trials_control,estimable_by_gates,recommendation,decision_reason
R1,Benin,works_here,primary,3,-1198.2162058593142,-1935.5178184280362,-378.7477395921482,True,-1186.3018418683023,10.025084135388425,1.0,0.8415300546448088,1.1975139672229935,76.49010288912005,85.89723325539072,0.0,549,178,371,0.3242258652094718,7,5,7,True,Pilot-only,works_here_but_some_causal_diagnostics_not_fully_met
R1,Nigeria,works_here,primary,3,-805.9187792090686,-903.7974462040003,-732.5097789628699,True,-772.4109977925904,60.368523263264656,1.0,0.3129251700680272,1.0736366504599122,31.88106090404045,66.70660990353659,0.0,147,32,115,0.21768707482993196,2,1,2,True,Pilot-only,works_here_but_some_causal_diagnostics_not_fully_met
R2,Nigeria,works_here,primary,3,545.102545708067,205.31275752793772,998.1555966149061,True,527.8447547423908,14.509756002005687,1.0,0.2653061224489796,1.0424949786354878,30.91258558520415,67.2531597075779,0.0,147,31,116,0.2108843537414966,2,1,2,True,Pilot-only,works_here_but_some_causal_diagnostics_not_fully_met
R5,Benin,works_here,primary,3,1473.7517467722873,1182.7985743877211,1988.8475504615167,True,1468.6244199464447,3.749569476193026,1.0,0.0,2.1526388962574234,94.68616050820266,438.1227585317109,0.0,549,96,453,0.17486338797814208,7,2,7,True,Pilot-only,works_here_but_some_causal_diagnostics_not_fully_met
R2,Benin,unstable_or_small_effect,secondary,3,-6340.8944094468125,-13612.434338834177,-172.4143120917165,True,-6269.822240118861,50.72489595906821,1.0,0.6885245901639344,2.049106400671288,89.04887909637782,208.94260440186,0.04,549,179,370,0.32604735883424407,7,5,7,True,Do-not-recommend,unstable_or_small_effect_and_causal_diagnostics_weak
R3,Benin,conflicts_here,secondary,3,-267.4895971948651,-696.179743023857,250.75036932196429,False,-264.1810954410584,4.424908248565274,1.0,0.0,2.111109266905458,95.6108583717722,413.9761807533886,0.32,549,96,453,0.17486338797814208,7,2,7,True,Do-not-recommend,predictive_rule_direction_conflicts_in_country
